X,Y,Concentrations,Migration_front,Vx,Vy
5.0,5.0,0.0,0.0,-0.0909820046862529,0.10146713411191811
5.0,15.0,0.0,0.0,-0.12001800421496689,0.10146713411191811
5.0,25.0,0.0,0.0,-0.12120333118756119,0.10146713411191811
5.0,35.0,0.0,0.0,-0.12241532389565817,0.10146713411191811
5.0,45.0,0.0,0.0,-0.12364841448515691,0.10146713411191811
5.0,55.0,0.0,0.0,-0.12489564109451454,0.10146713411191811
5.0,65.0,0.0,0.0,-0.1261484852638268,0.10146713411191811
5.0,75.0,0.0,0.0,-0.12739672823585513,0.10146713411191811
5.0,85.0,0.0,0.0,-0.12862834527634806,0.10146713411191811
5.0,95.0,0.0,0.0,-0.12982946277465712,0.10146713411191811
5.0,105.0,0.0,0.0,-0.1309844078746438,0.10146713411191811
5.0,115.0,0.0,0.0,-0.13207588320609875,0.10146713411191811
5.0,125.0,0.0,0.0,-0.13308529791080587,0.10146713411191811
5.0,135.0,0.0,0.0,-0.1339932783661211,0.10146713411191811
5.0,145.0,0.0,0.0,-0.13478036604287105,0.10146713411191811
5.0,155.0,0.0,0.0,-0.13542788544750073,0.10146713411191811
5.0,165.0,0.0,0.0,-0.1359189341713417,0.10146713411191811
5.0,175.0,0.0,0.0,-0.13623941479844995,0.10146713411191811
5.0,185.0,0.0,0.0,-0.1363790024962775,0.10146713411191811
5.0,195.0,0.0,0.0,-0.13633193101745394,0.10146713411191811
5.0,205.0,0.0,0.0,-0.13609748995588772,0.10146713411191811
5.0,215.0,0.0,0.0,-0.13568015873115602,0.10146713411191811
5.0,225.0,0.0,0.0,-0.13508935261224495,0.10146713411191811
5.0,235.0,0.0,0.0,-0.13433881220434235,0.10146713411191811
5.0,245.0,0.0,0.0,-0.133445717092091,0.10146713411191811
5.0,255.0,0.0,0.0,-0.13242963589293005,0.10146713411191811
5.0,265.0,0.0,0.0,-0.13131143363502001,0.10146713411191811
5.0,275.0,0.0,0.0,-0.13011224459928744,0.10146713411191811
5.0,285.0,0.0,0.0,-0.12885259111015673,0.10146713411191811
5.0,295.0,0.0,0.0,-0.12755169488178553,0.10146713411191811
5.0,305.0,0.0,0.0,-0.12622699525775638,0.10146713411191811
5.0,315.0,0.0,0.0,-0.12489386321778286,0.10146713411191811
5.0,325.0,0.0,0.0,-0.12356548349375435,0.10146713411191811
5.0,335.0,0.0,0.0,-0.12225286918972958,0.10146713411191811
5.0,345.0,0.0,0.0,-0.12096497212898233,0.10146713411191811
5.0,355.0,0.0,0.0,-0.1197088554582208,0.10146713411191811
5.0,365.0,0.0,0.0,-0.1184899007024954,0.10146713411191811
5.0,375.0,0.0,0.0,-0.11731202786421663,0.10146713411191811
